Algorithm,Size,Mode,Runs,AvgMs,MinMs,MaxMs,Comparisons,Interchanges
Bubble Sort,100,random,5,0.467,0.398,0.555,4950,2323
Selection Sort,100,random,5,0.202,0.186,0.233,4950,93
Insertion Sort,100,random,5,0.150,0.143,0.177,2323,2323
Quick Sort,100,random,5,0.153,0.127,0.170,749,497
Merge Sort,100,random,5,0.112,0.093,0.124,544,290
Heap Sort,100,random,5,0.159,0.141,0.226,1153,584
Bubble Sort,500,random,5,2.213,1.150,4.448,124750,60814
Selection Sort,500,random,5,1.682,1.107,3.464,124750,496
Insertion Sort,500,random,5,1.570,0.402,3.950,60814,60814
Quick Sort,500,random,5,0.109,0.094,0.135,4507,2791
Merge Sort,500,random,5,0.101,0.094,0.108,3838,1946
Heap Sort,500,random,5,0.151,0.129,0.172,8673,4046
Bubble Sort,1000,random,5,1.209,1.081,1.345,499500,250897
Selection Sort,1000,random,5,0.573,0.486,0.746,499500,988
Insertion Sort,1000,random,5,0.483,0.364,0.876,250897,250897
Quick Sort,1000,random,5,0.167,0.157,0.177,11056,6270
Merge Sort,1000,random,5,0.146,0.137,0.155,8680,4384
Heap Sort,1000,random,5,0.182,0.160,0.214,19667,9055
Bubble Sort,5000,random,5,16.439,14.184,24.122,12497500,6279793
Selection Sort,5000,random,5,8.996,6.858,12.337,12497500,4991
Insertion Sort,5000,random,5,3.428,2.886,5.023,6279793,6279793
Quick Sort,5000,random,5,0.431,0.351,0.487,66389,41121
Merge Sort,5000,random,5,1.472,1.354,1.598,55273,28248
Heap Sort,5000,random,5,0.496,0.463,0.583,127856,57079
Bubble Sort,10000,random,5,82.210,81.755,83.106,49995000,24879883
Selection Sort,10000,random,5,29.057,28.912,29.287,49995000,9991
Insertion Sort,10000,random,5,11.262,11.220,11.371,24879883,24879883
Quick Sort,10000,random,5,0.719,0.706,0.736,183923,119896
Merge Sort,10000,random,5,2.821,2.757,2.897,120375,61032
Heap Sort,10000,random,5,0.929,0.778,1.030,280584,124202
Bubble Sort,100,random,5,0.006,0.004,0.013,4950,2542
Selection Sort,100,random,5,0.005,0.004,0.007,4950,97
Insertion Sort,100,random,5,0.001,0.001,0.002,2542,2542
Quick Sort,100,random,5,0.006,0.005,0.008,794,447
Merge Sort,100,random,5,0.006,0.002,0.022,543,279
Heap Sort,100,random,5,0.003,0.002,0.006,1147,577
Bubble Sort,500,random,5,0.198,0.189,0.211,124750,63752
Selection Sort,500,random,5,0.097,0.084,0.108,124750,496
Insertion Sort,500,random,5,0.036,0.029,0.046,63752,63752
Quick Sort,500,random,5,0.031,0.029,0.034,4875,3471
Merge Sort,500,random,5,0.019,0.013,0.032,3868,1992
Heap Sort,500,random,5,0.022,0.017,0.030,8583,4028
Bubble Sort,1000,random,5,1.251,0.722,2.006,499500,250628
Selection Sort,1000,random,5,0.904,0.793,0.945,499500,994
Insertion Sort,1000,random,5,0.387,0.316,0.487,250628,250628
Quick Sort,1000,random,5,0.177,0.170,0.187,11019,6644
Merge Sort,1000,random,5,0.135,0.101,0.180,8693,4398
Heap Sort,1000,random,5,0.113,0.053,0.188,19743,9077
Bubble Sort,5000,random,5,14.253,13.432,16.806,12497500,6239500
Selection Sort,5000,random,5,7.428,7.387,7.455,12497500,4994
Insertion Sort,5000,random,5,2.865,2.806,3.005,6239500,6239500
Quick Sort,5000,random,5,0.347,0.340,0.360,72701,42819
Merge Sort,5000,random,5,0.389,0.357,0.452,55259,28258
Heap Sort,5000,random,5,0.376,0.368,0.388,127875,57151
Bubble Sort,10000,random,5,85.917,82.945,93.030,49995000,24607526
Selection Sort,10000,random,5,29.521,29.104,30.955,49995000,9990
Insertion Sort,10000,random,5,13.335,11.080,16.728,24607526,24607526
Quick Sort,10000,random,5,0.723,0.709,0.746,160974,97639
Merge Sort,10000,random,5,0.775,0.760,0.813,120313,61178
Heap Sort,10000,random,5,0.793,0.767,0.841,280916,124318
Bubble Sort,100,random,5,0.020,0.012,0.041,4950,2387
Selection Sort,100,random,5,0.014,0.011,0.022,4950,95
Insertion Sort,100,random,5,0.005,0.004,0.008,2387,2387
Quick Sort,100,random,5,0.020,0.018,0.024,590,421
Merge Sort,100,random,5,0.012,0.008,0.023,542,277
Heap Sort,100,random,5,0.051,0.017,0.107,1156,581
Bubble Sort,500,random,5,0.674,0.641,0.706,124750,58907
Selection Sort,500,random,5,0.302,0.264,0.321,124750,493
Insertion Sort,500,random,5,0.081,0.080,0.082,58907,58907
Quick Sort,500,random,5,0.091,0.079,0.110,4521,3243
Merge Sort,500,random,5,0.054,0.038,0.088,3845,1962
Heap Sort,500,random,5,0.083,0.044,0.109,8710,4076
Bubble Sort,1000,random,5,1.368,0.852,1.830,499500,251070
Selection Sort,1000,random,5,0.342,0.331,0.353,499500,992
Insertion Sort,1000,random,5,0.122,0.117,0.131,251070,251070
Quick Sort,1000,random,5,0.073,0.069,0.085,11145,7316
Merge Sort,1000,random,5,0.063,0.047,0.079,8683,4365
Heap Sort,1000,random,5,0.040,0.029,0.063,19693,9049
Bubble Sort,5000,random,5,13.763,13.349,15.268,12497500,6239170
Selection Sort,5000,random,5,7.371,7.358,7.400,12497500,4990
Insertion Sort,5000,random,5,2.828,2.799,2.889,6239170,6239170
Quick Sort,5000,random,5,0.359,0.352,0.368,65205,41770
Merge Sort,5000,random,5,0.383,0.369,0.402,55164,28071
Heap Sort,5000,random,5,0.310,0.298,0.328,127779,57101
Bubble Sort,10000,random,5,83.922,81.760,89.955,49995000,25058516
Selection Sort,10000,random,5,29.216,28.895,30.296,49995000,9993
Insertion Sort,10000,random,5,12.432,11.241,16.927,25058516,25058516
Quick Sort,10000,random,5,1.250,0.747,3.199,146884,88266
Merge Sort,10000,random,5,0.764,0.751,0.787,120394,61212
Heap Sort,10000,random,5,0.674,0.659,0.702,280765,124248
